OLUR_00005389 	 Q9JLI7
OLUR_00012882 	 P35347
OLUR_00006488 	 O43301
OLUR_00013384 	 Q98925
OLUR_00002764 	 Q07553
OLUR_00018653 	 Q06852
OLUR_00012292 	 Q03601
OLUR_00019551 	 P20693
OLUR_00011569 	 Q9XSJ0
OLUR_00022279 	 Q3SZV5
OLUR_00019412 	 A2AX52
OLUR_00007467 	 Q5R6Q2
OLUR_00020284 	 Q5RD03
OLUR_00016511 	 Q9NVA1
OLUR_00006495 	 Q90837
OLUR_00008172 	 A0A0R4IBK5
OLUR_00004745 	 Q04791
OLUR_00024539 	 Q8TDB6
OLUR_00010386 	 Q96HH6
OLUR_00015658 	 Q8R4D5
OLUR_00001397 	 P16066
OLUR_00016163 	 P31596
OLUR_00000530 	 Q95NT6
OLUR_00000527 	 A2AV25
OLUR_00016904 	 Q5R6P6
OLUR_00004457 	 Q5T4S7
OLUR_00011942 	 Q9VCA2
OLUR_00020214 	 Q5ND28
OLUR_00019444 	 Q9P000
OLUR_00006665 	 Q498J9
OLUR_00012196 	 Q95R48
OLUR_00007021 	 Q717B4
OLUR_00000027 	 Q9VBW3
OLUR_00000028 	 Q96MM6
OLUR_00000029 	 Q96MM6
OLUR_00016059 	 Q6NT16
OLUR_00008970 	 Q8K1C7
OLUR_00001796 	 F7H9X2
OLUR_00010932 	 Q17RP2
OLUR_00004595 	 P70227
OLUR_00004508 	 P06868
OLUR_00022783 	 Q01149
OLUR_00009663 	 Q8C8U0
OLUR_00016145 	 Q86UF1
OLUR_00018856 	 Q9QZN3
OLUR_00016045 	 Q6PBF0
OLUR_00024184 	 Q9NUV9
OLUR_00000713 	 Q9HCB6
OLUR_00000715 	 P35447
OLUR_00005047 	 Q9XTQ6
OLUR_00015083 	 Q6DEE4
OLUR_00001896 	 Q58ED9
OLUR_00001895 	 Q8N8E3
OLUR_00015630 	 Q96MM6
OLUR_00012064 	 Q9D8V7
OLUR_00017258 	 Q9JHS3
OLUR_00024465 	 P82596
OLUR_00004987 	 Q9JJZ8
OLUR_00016318 	 Q5BK46
OLUR_00022484 	 Q6IMN6
OLUR_00010434 	 D3YXG0
OLUR_00011687 	 Q6NU40
OLUR_00020919 	 F7J220
OLUR_00014905 	 Q5NVI6
OLUR_00023803 	 Q8R4G9
OLUR_00022864 	 Q96RW7
OLUR_00010924 	 Q94K49
OLUR_00010121 	 P14173
OLUR_00008089 	 P52209
OLUR_00011031 	 Q6Q1P3
OLUR_00004930 	 A2XYY8
OLUR_00021360 	 E9QAM5
OLUR_00020384 	 Q9BVQ7
OLUR_00015274 	 P59280
OLUR_00011066 	 P83425
OLUR_00006915 	 P46088
OLUR_00006914 	 P46088
OLUR_00016600 	 E1BNG3
OLUR_00008538 	 Q5EA59
OLUR_00014512 	 Q6R2W3
OLUR_00006252 	 P09849
OLUR_00021650 	 O74549
OLUR_00011400 	 Q99102
OLUR_00022399 	 Q8HY11
OLUR_00009767 	 Q8IS64
OLUR_00016007 	 Q04310
OLUR_00017636 	 Q3UIR3
OLUR_00022515 	 Q96MM6
OLUR_00021890 	 P36544
OLUR_00014436 	 B5DF94
OLUR_00004764 	 Q8C6C7
OLUR_00012337 	 Q6DC60
OLUR_00009256 	 Q03147
OLUR_00017347 	 O96790
OLUR_00011175 	 Q29486
OLUR_00003854 	 Q39565
OLUR_00003855 	 Q9P2D7
OLUR_00017331 	 O75095
OLUR_00018780 	 P22031
OLUR_00018678 	 Q8WWL2
OLUR_00002850 	 O44252
OLUR_00002851 	 Q96PQ7
OLUR_00011670 	 P13635
OLUR_00020560 	 Q6AX44
OLUR_00009886 	 V5NAL9
OLUR_00022556 	 Q80ZE4
OLUR_00009335 	 Q6P5L8
OLUR_00001319 	 Q8NEZ4
OLUR_00021773 	 P86854
OLUR_00020747 	 Q14258
OLUR_00017028 	 O18783
OLUR_00004559 	 Q4R4A2
OLUR_00013616 	 H9JIQ1
OLUR_00020580 	 Q96JQ0
OLUR_00024467 	 Q99996
OLUR_00011728 	 Q5PPR6
OLUR_00001758 	 Q7KZ85
OLUR_00000122 	 Q8K1C7
OLUR_00000124 	 P21520
OLUR_00000123 	 Q9UPU7
OLUR_00021961 	 Q60809
OLUR_00016802 	 Q5BKW7
OLUR_00013180 	 P71359
OLUR_00001159 	 P51473
OLUR_00017578 	 P42859
OLUR_00019802 	 O08762
OLUR_00003236 	 O15266
OLUR_00012519 	 Q9JMD3
OLUR_00020894 	 P51909
OLUR_00012038 	 Q6DCX5
OLUR_00020882 	 Q1JP73
OLUR_00008496 	 P49013
OLUR_00008497 	 Q5ND28
OLUR_00009587 	 Q96DA2
OLUR_00009588 	 P28227
OLUR_00002042 	 Q6P4F7
OLUR_00002043 	 P62744
OLUR_00022668 	 Q9VUL9
OLUR_00016815 	 Q58D05
OLUR_00001526 	 Q27802
OLUR_00001525 	 Q27802
OLUR_00007320 	 P21262
OLUR_00008684 	 Q6ZSS7
OLUR_00010946 	 Q05306
OLUR_00016086 	 O00602
OLUR_00011680 	 Q54G06
OLUR_00007698 	 Q19187
OLUR_00024316 	 P06868
OLUR_00013410 	 Q5E9P5
OLUR_00005174 	 B4KPU0
OLUR_00021054 	 Q8TCE6
OLUR_00017141 	 C7G0B5
OLUR_00022065 	 Q5RJ80
OLUR_00010668 	 P58307
OLUR_00017663 	 Q86U90
OLUR_00002030 	 P11533
OLUR_00002029 	 P11533
OLUR_00011964 	 Q18779
OLUR_00010119 	 Q9D5E4
OLUR_00022878 	 Q27350
OLUR_00020192 	 P26769
OLUR_00010886 	 P10039
OLUR_00010887 	 Q6DFV8
OLUR_00021675 	 Q80UM7
OLUR_00005171 	 O00602
OLUR_00012683 	 Q9V785
OLUR_00012684 	 Q5G267
OLUR_00003100 	 B1WB06
OLUR_00004894 	 P30083
OLUR_00003342 	 A0A0D3QS99
OLUR_00022931 	 Q8ITC9
OLUR_00009567 	 Q3MI00
OLUR_00009568 	 Q6PAT0
OLUR_00013825 	 Q9NRG9
OLUR_00003301 	 Q9VCA9
OLUR_00003299 	 Q176V0
OLUR_00003300 	 Q2TA14
OLUR_00005820 	 P48416
OLUR_00015291 	 Q9VAI0
OLUR_00016025 	 Q9Y6R7
OLUR_00004200 	 Q8K368
OLUR_00017023 	 P53454
OLUR_00012027 	 A3KNS9
OLUR_00012696 	 Q6DIZ8
OLUR_00001810 	 Q9BZH6
OLUR_00001807 	 Q29548
OLUR_00001808 	 P07686
OLUR_00003543 	 Q24306
OLUR_00010195 	 Q0P4F7
OLUR_00010988 	 P70080
OLUR_00001733 	 Q8IY81
OLUR_00003290 	 Q28I85
OLUR_00005455 	 B3EWZ5
OLUR_00014597 	 Q6DDP3
OLUR_00005113 	 Q9P2N4
OLUR_00000921 	 P12111
OLUR_00022076 	 G5EBQ8
OLUR_00018144 	 Q5GH73
OLUR_00023057 	 Q80YA8
OLUR_00008610 	 Q6IRE4
OLUR_00024325 	 P23414
OLUR_00005572 	 A0JMF8
OLUR_00021248 	 O16374
OLUR_00021162 	 G5EBR3
OLUR_00017072 	 B3DH20
OLUR_00008614 	 Q19673
OLUR_00018970 	 Q3LXA3
OLUR_00020129 	 Q99714
OLUR_00018964 	 Q9W6V5
OLUR_00005060 	 P72745
OLUR_00021960 	 Q04831
OLUR_00015329 	 Q9H251
OLUR_00003859 	 Q9PWA1
OLUR_00011935 	 Q921Y4
OLUR_00003899 	 Q571C7
OLUR_00003900 	 O73888
OLUR_00014477 	 O15050
OLUR_00000287 	 Q9HAR2
OLUR_00006910 	 Q9VW71
OLUR_00006909 	 Q14517
OLUR_00007721 	 Q05192
OLUR_00019875 	 Q07263
OLUR_00007307 	 Q6DDK3
OLUR_00014766 	 P35247
OLUR_00016119 	 Q5IS51
OLUR_00023219 	 P19217
OLUR_00008901 	 O43301
OLUR_00011738 	 Q5F3G0
OLUR_00020937 	 Q5T5N4
OLUR_00007596 	 Q5F4C0
OLUR_00023936 	 P83425
OLUR_00006724 	 Q7RPB4
OLUR_00006566 	 P29030
OLUR_00005444 	 Q568W0
OLUR_00013233 	 P12027
OLUR_00002783 	 Q6D3C1
OLUR_00007386 	 A1A5G6
OLUR_00017866 	 Q5R8X6
OLUR_00012012 	 B9A8D7
OLUR_00001113 	 Q06453
OLUR_00001112 	 O55060
OLUR_00021048 	 D9IQ16
OLUR_00024355 	 P63047
OLUR_00019059 	 Q7RTX9
OLUR_00003858 	 Q6Q899
OLUR_00012704 	 Q9NZ63
OLUR_00023261 	 D8VNT0
OLUR_00020360 	 A8Y7N7
OLUR_00021709 	 Q6GNV7
OLUR_00021300 	 Q9VWA8
OLUR_00005760 	 O00339
OLUR_00023466 	 Q4R918
OLUR_00002684 	 Q5RJA1
OLUR_00002686 	 Q08CX1
OLUR_00023913 	 Q767K6
OLUR_00022210 	 P58743
OLUR_00004769 	 Q6IRN2
OLUR_00003607 	 P48768
OLUR_00020960 	 H2A0M7
OLUR_00023409 	 Q1LWV7
OLUR_00004815 	 P27365
OLUR_00004814 	 Q6DJ48
OLUR_00016107 	 D3YXG0
OLUR_00018549 	 A1L1W9
OLUR_00021451 	 Q6DCX5
OLUR_00014555 	 P56282
OLUR_00020813 	 P28828
OLUR_00020135 	 P10155
OLUR_00011968 	 P07439
OLUR_00016077 	 A4IF63
OLUR_00022386 	 Q64237
OLUR_00020237 	 Q9R1R2
OLUR_00002248 	 Q61116
OLUR_00019493 	 Q05546
OLUR_00005436 	 Q9Y5P6
OLUR_00021819 	 P56192
OLUR_00006032 	 Q9WTS8
OLUR_00011562 	 Q96G03
OLUR_00011561 	 Q6GNV7
OLUR_00014521 	 Q9Y6R7
OLUR_00007290 	 Q01717
OLUR_00008770 	 Q3SZP5
OLUR_00002419 	 Q32LP7
OLUR_00002418 	 P48148
OLUR_00002965 	 Q6P5M2
OLUR_00000959 	 Q5PPZ9
OLUR_00000960 	 Q8BIF2
OLUR_00003874 	 Q8NFU7
OLUR_00006081 	 Q5NA18
OLUR_00001616 	 Q91ZU6
OLUR_00014911 	 Q9Y4E8
OLUR_00001499 	 Q7Z5M5
OLUR_00007663 	 O00170
OLUR_00004208 	 Q9PTJ6
OLUR_00016399 	 Q8R151
OLUR_00006438 	 Q1RMU2
OLUR_00003444 	 Q6V0I7
OLUR_00003443 	 O35516
OLUR_00003442 	 Q6V0I7
OLUR_00015314 	 Q8NBN7
OLUR_00020850 	 Q9HCU4
OLUR_00017727 	 Q9DCM4
OLUR_00002013 	 Q4V8V1
OLUR_00014590 	 Q9VZW5
OLUR_00005692 	 Q29RU2
OLUR_00018931 	 Q6RY07
OLUR_00019542 	 Q8WV35
OLUR_00021750 	 Q9JJ80
OLUR_00005059 	 Q9DDT2
OLUR_00011419 	 Q9H2X3
OLUR_00013377 	 Q6FQN3
OLUR_00018450 	 Q60989
OLUR_00011092 	 V5NAL9
OLUR_00023184 	 Q3SZW1
OLUR_00023205 	 A8MU46
OLUR_00006638 	 P17971
OLUR_00006640 	 Q7ZVC9
OLUR_00006639 	 P29691
OLUR_00019765 	 P42893
OLUR_00011231 	 Q01414
OLUR_00021696 	 P49430
OLUR_00016940 	 Q499W2
OLUR_00003653 	 Q7TS63
OLUR_00003654 	 Q6PCJ1
OLUR_00004911 	 Q99758
OLUR_00020905 	 Q8WZ42
OLUR_00023311 	 A1L4H1
OLUR_00008434 	 Q9UEE5
OLUR_00009926 	 Q05481
OLUR_00003169 	 P42578
OLUR_00021435 	 Q9BQA5
OLUR_00022806 	 Q2PZL6
OLUR_00023965 	 Q810N6
OLUR_00005069 	 Q2PC93
OLUR_00003712 	 Q6V0I7
OLUR_00003667 	 Q8BFY9
OLUR_00003666 	 Q3SYU7
OLUR_00007519 	 P36544
OLUR_00016031 	 Q96MD2
OLUR_00012226 	 Q8CG09
OLUR_00002362 	 Q5RJI4
OLUR_00002361 	 O08740
OLUR_00024369 	 O75095
OLUR_00023743 	 P16157
OLUR_00010139 	 Q8N5Z0
OLUR_00004696 	 Q9ULJ7
OLUR_00008962 	 Q5IS75
OLUR_00023868 	 O60494
OLUR_00005776 	 Q14549
OLUR_00003065 	 P98157
OLUR_00003923 	 Q95218
OLUR_00017419 	 Q62674
OLUR_00016565 	 Q07E49
OLUR_00015377 	 B3VSB7
OLUR_00015376 	 Q16982
OLUR_00007296 	 Q29042
OLUR_00010329 	 Q96RW7
OLUR_00009938 	 O43734
OLUR_00011313 	 Q9UPY8
OLUR_00007571 	 Q8BXB6
OLUR_00011269 	 O96064
OLUR_00005828 	 Q8NEF3
OLUR_00005827 	 Q5ZJM3
OLUR_00016356 	 Q1LVQ7
OLUR_00007682 	 Q54KA7
OLUR_00011345 	 Q68CR1
OLUR_00003612 	 B0JZG0
OLUR_00013072 	 Q66KU2
OLUR_00005763 	 Q86Z23
OLUR_00017421 	 P32241
OLUR_00008364 	 Q86Z23
OLUR_00003110 	 Q2TA16
OLUR_00003109 	 P55934
OLUR_00009903 	 Q5BIM1
OLUR_00024427 	 Q9HAR2
OLUR_00004172 	 Q6GMF8
OLUR_00009855 	 Q5ZIZ2
OLUR_00023847 	 Q07E49
OLUR_00010264 	 Q15773
OLUR_00020482 	 Q8TCD5
OLUR_00008404 	 P83425
OLUR_00009203 	 Q5R4F4
OLUR_00024012 	 Q7SIC1
OLUR_00016276 	 O75096
OLUR_00016277 	 Q5BIM1
OLUR_00019769 	 Q96NL6
OLUR_00004400 	 G3UW36
OLUR_00005337 	 Q95NT6
OLUR_00005338 	 A8KBL5
OLUR_00004627 	 A3R064
OLUR_00006234 	 Q08093
OLUR_00003715 	 Q3UHC7
OLUR_00001512 	 P51521
OLUR_00001511 	 Q62066
OLUR_00002474 	 Q8TE99
OLUR_00002472 	 Q3UY96
OLUR_00002473 	 Q9WUA2
OLUR_00021076 	 Q66IH2
OLUR_00009772 	 Q96DM1
OLUR_00020947 	 Q6GMK0
OLUR_00006149 	 P02712
OLUR_00001086 	 Q5UR46
OLUR_00001085 	 Q6V0K7
OLUR_00024212 	 Q91ZY2
OLUR_00014497 	 P20693
OLUR_00020636 	 Q8BV66
OLUR_00011833 	 Q2TAQ1
OLUR_00011652 	 P22105
OLUR_00004650 	 V5NAL9
OLUR_00006256 	 Q9VN14
OLUR_00022665 	 Q9BXI9
OLUR_00013701 	 O43422
OLUR_00001477 	 Q9Y113
OLUR_00020943 	 D3YXG0
OLUR_00021893 	 P02637
OLUR_00002933 	 Q9Y6Y1
OLUR_00016140 	 Q8VCH8
OLUR_00017434 	 O76202
OLUR_00016206 	 P32238
OLUR_00014917 	 E9Q309
OLUR_00001388 	 Q5SWW4
OLUR_00013543 	 Q5ZIJ9
OLUR_00003804 	 Q99933
OLUR_00003906 	 E7FAM5
OLUR_00018024 	 V5NAL9
OLUR_00005313 	 O62650
OLUR_00002186 	 F7AEX0
OLUR_00022278 	 Q9NQ86
OLUR_00011556 	 P36609
OLUR_00011555 	 P36609
OLUR_00015827 	 Q8CGF6
OLUR_00015826 	 Q8CGF6
OLUR_00005127 	 Q22328
OLUR_00000188 	 Q9GV77
OLUR_00014802 	 A6BM72
OLUR_00009812 	 P53988
OLUR_00015695 	 P32240
OLUR_00023189 	 Q9VR91
OLUR_00011699 	 Q9Y5Y5
OLUR_00012035 	 D3Z3C6
OLUR_00003049 	 E9NA96
OLUR_00003048 	 Q05A36
OLUR_00010151 	 Q812A3
OLUR_00011350 	 Q9HCF6
OLUR_00023099 	 O16277
OLUR_00003761 	 Q2L6K8
OLUR_00009475 	 P70031
OLUR_00012208 	 P16621
OLUR_00010733 	 Q6AXS9
OLUR_00006304 	 B4F6I5
OLUR_00006303 	 Q8N8A6
OLUR_00024483 	 P61917
OLUR_00012924 	 Q26065
OLUR_00015716 	 Q8MJ08
OLUR_00001987 	 P26221
OLUR_00014988 	 Q8WU90
OLUR_00014902 	 Q7Z3U7
OLUR_00016612 	 P02637
OLUR_00019812 	 Q26474
OLUR_00003609 	 Q53G44
OLUR_00023681 	 Q9I931
OLUR_00002700 	 Q0KHY3
OLUR_00000079 	 Q01196
OLUR_00005426 	 Q6DFV8
OLUR_00012557 	 Q93XW5
OLUR_00011596 	 P35903
OLUR_00015686 	 Q96KE9
OLUR_00015685 	 P23606
OLUR_00001653 	 O14618
OLUR_00020698 	 Q9LNB6
OLUR_00015833 	 P11584
OLUR_00022052 	 V5NAL9
OLUR_00021888 	 P86410
OLUR_00022336 	 Q7LFX5
OLUR_00020926 	 Q29485
OLUR_00011448 	 F1QUP1
OLUR_00015316 	 Q0R4F1
OLUR_00017305 	 Q3U515
OLUR_00005494 	 P0C0L6
OLUR_00006274 	 F1NVK6
OLUR_00006273 	 P82890
OLUR_00003475 	 P17221
OLUR_00011081 	 Q3UCV8
OLUR_00006989 	 P42674
OLUR_00015212 	 Q96AN5
OLUR_00003875 	 Q6GPV5
OLUR_00014547 	 Q5U258
OLUR_00005752 	 B0UXP9
OLUR_00014396 	 Q8N5T2
OLUR_00001942 	 P22105
OLUR_00013138 	 Q9BRS2
OLUR_00012767 	 Q17FR9
OLUR_00013704 	 Q9BXJ5
OLUR_00005742 	 Q9DBB9
OLUR_00005741 	 Q689D1
OLUR_00006173 	 P79218
OLUR_00013111 	 P51638
OLUR_00009135 	 Q9H2X6
OLUR_00004661 	 Q08BC4
OLUR_00009968 	 Q9UKU0
OLUR_00009969 	 Q14565
OLUR_00024183 	 O95271
OLUR_00015319 	 O95905
OLUR_00015750 	 Q9BXR5
OLUR_00014768 	 Q4ZJM9
OLUR_00009381 	 Q17RS7
OLUR_00019025 	 Q9ULJ7
OLUR_00006919 	 P30937
OLUR_00015429 	 Q9D818
OLUR_00020463 	 Q8AXF4
OLUR_00023323 	 P10079
OLUR_00022605 	 Q5M9G6
OLUR_00023232 	 Q9BXX0
OLUR_00013734 	 C5BMZ8
OLUR_00018277 	 P59222
OLUR_00020318 	 Q9H0W7
OLUR_00005251 	 Q8TCT0
OLUR_00005383 	 E2RDZ6
OLUR_00005382 	 Q58CQ5
OLUR_00018942 	 Q4ZJM9
OLUR_00007573 	 Q96MM6
OLUR_00019974 	 P05934
OLUR_00010117 	 O18635
OLUR_00024055 	 Q8K354
OLUR_00008624 	 Q8R4V5
OLUR_00015600 	 P38287
OLUR_00017252 	 Q6P2U9
OLUR_00020133 	 P59222
OLUR_00004303 	 Q96N20
OLUR_00018718 	 D3ZQG6
OLUR_00015876 	 Q2IBF7
OLUR_00013632 	 Q6NRG6
OLUR_00014210 	 C3YWU0
OLUR_00012336 	 P82596
OLUR_00022269 	 P83425
OLUR_00022542 	 Q5XIJ9
OLUR_00002308 	 Q9HAR2
OLUR_00013697 	 Q8N328
OLUR_00007889 	 Q9UEW3
OLUR_00012889 	 Q15438
OLUR_00022109 	 Q568Z9
OLUR_00015234 	 O94830
OLUR_00022011 	 Q92113
OLUR_00011229 	 Q6ZW76
OLUR_00006518 	 Q6GNY1
OLUR_00018605 	 P09481
OLUR_00004186 	 P22105
OLUR_00020886 	 C3ZQF9
OLUR_00022005 	 Q98SN7
OLUR_00008799 	 Q95LU3
OLUR_00016784 	 Q8R2K4
OLUR_00022105 	 Q13201
OLUR_00006248 	 O94844
OLUR_00015924 	 Q6IVV8
OLUR_00017171 	 Q90XB3
OLUR_00021213 	 Q5B778
OLUR_00024349 	 Q9NPI0
OLUR_00013430 	 A0JM12
OLUR_00015310 	 P16554
OLUR_00021413 	 Q9C0G6
OLUR_00009402 	 Q91VX2
OLUR_00022517 	 P30551
OLUR_00015547 	 Q14162
OLUR_00005549 	 B1AJZ9
OLUR_00003427 	 O75382
OLUR_00003428 	 P04069
OLUR_00009701 	 P15475
OLUR_00012384 	 P16951
OLUR_00018495 	 P51958
OLUR_00021921 	 O89049
OLUR_00006837 	 O14508
OLUR_00009709 	 A9XE49
OLUR_00000045 	 Q69ZS0
OLUR_00017422 	 Q8WPJ2
OLUR_00001568 	 P86854
OLUR_00010277 	 Q5R4M8
OLUR_00021873 	 Q5S1U6
OLUR_00010186 	 Q3TMH2
OLUR_00014439 	 B3EWZ6
OLUR_00014442 	 B3EWZ6
OLUR_00014441 	 B3EWZ5
OLUR_00014440 	 B3EWZ6
OLUR_00024409 	 Q8AWB5
OLUR_00005594 	 Q8STF0
OLUR_00005593 	 Q9BLG0
OLUR_00019014 	 Q5ZT34
OLUR_00005052 	 O00400
OLUR_00015335 	 P82450
OLUR_00010878 	 Q04791
OLUR_00015815 	 O00238
OLUR_00023092 	 Q494W8
OLUR_00002625 	 Q6GNG3
OLUR_00002626 	 Q1RMR1
OLUR_00010445 	 Q8INR6
OLUR_00004715 	 Q8VEB2
OLUR_00004716 	 A7S8T5
OLUR_00001762 	 Q04841
OLUR_00001761 	 P27080
OLUR_00011059 	 Q63416
OLUR_00018151 	 Q14191
OLUR_00023787 	 P49580
OLUR_00021126 	 Q5T440
OLUR_00018597 	 Q5R9C5
OLUR_00004901 	 Q5U5R9
OLUR_00006847 	 P41144
OLUR_00006165 	 P46782
OLUR_00005677 	 A2A870
OLUR_00015372 	 O75592
OLUR_00002594 	 E1B7L7
OLUR_00009848 	 Q7SIC1
OLUR_00022138 	 Q7Z4M0
OLUR_00009972 	 Q8BV66
OLUR_00002977 	 Q0IIF6
OLUR_00022235 	 Q9VUJ0
OLUR_00003431 	 H2A0L1
OLUR_00014742 	 B3SAE4
OLUR_00004497 	 Q501Z5
OLUR_00020291 	 Q0P4V4
OLUR_00001225 	 P51791
OLUR_00016558 	 Q9Y6R7
OLUR_00011582 	 P29147
OLUR_00006468 	 Q02763
OLUR_00022675 	 Q6PCJ9
OLUR_00019961 	 P18262
OLUR_00016369 	 Q6AYJ1
OLUR_00014879 	 Q8N2E2
OLUR_00007223 	 P55210
OLUR_00007222 	 P40112
OLUR_00021335 	 O43301
OLUR_00007334 	 Q5ND28
OLUR_00013080 	 Q7T0Z0
OLUR_00012877 	 Q9VCA2
OLUR_00006430 	 Q80U59
OLUR_00015502 	 Q9U4L6
OLUR_00001184 	 Q2HZX7
OLUR_00006161 	 Q96LT4
OLUR_00006384 	 P07949
OLUR_00005326 	 Q4LDE5
OLUR_00010593 	 P20483
OLUR_00003479 	 P86854
OLUR_00004629 	 O43827
OLUR_00014244 	 A7RWD2
OLUR_00004697 	 Q9D4B2
OLUR_00017662 	 Q96MM6
OLUR_00010357 	 P10184
OLUR_00014258 	 A9CB25
OLUR_00013381 	 Q8QGW7
OLUR_00011286 	 Q69Z37
OLUR_00018896 	 Q06805
OLUR_00002213 	 Q32LN0
OLUR_00020154 	 Q9VAC5
OLUR_00015240 	 Q90YJ2
OLUR_00019668 	 Q54KF7
OLUR_00012726 	 O70497
OLUR_00004569 	 Q9H0A9
OLUR_00015726 	 Q8GX78
OLUR_00018704 	 Q96LI6
OLUR_00008209 	 Q95JD5
OLUR_00014644 	 H2A0M1
OLUR_00017725 	 Q9UP38
OLUR_00007405 	 Q7T3S3
OLUR_00007219 	 B3PXE3
OLUR_00015880 	 A8Y1P7
OLUR_00008863 	 A0NGI1
OLUR_00023183 	 O95841
OLUR_00009442 	 Q5SPF7
OLUR_00009145 	 P20350
OLUR_00011306 	 Q4R4Z9
OLUR_00004582 	 Q6DBQ8
OLUR_00004580 	 Q642A2
OLUR_00023257 	 C3YWU0
OLUR_00007044 	 P18052
OLUR_00016711 	 P27922
OLUR_00019950 	 Q91187
OLUR_00000206 	 P22770
OLUR_00000205 	 P21837
OLUR_00000207 	 P49582
OLUR_00015521 	 P34457
OLUR_00020802 	 P14133
OLUR_00010475 	 Q24W96
OLUR_00017165 	 P16230
OLUR_00024172 	 Q9VW71
OLUR_00019293 	 Q2NLB0
OLUR_00014393 	 Q6DIB5
OLUR_00013093 	 P17842
OLUR_00012713 	 P37111
OLUR_00004019 	 Q91WU0
OLUR_00022479 	 Q61001
OLUR_00009123 	 P04988
OLUR_00010207 	 Q9UP83
OLUR_00020743 	 P22770
OLUR_00017033 	 F1Q8C3
OLUR_00006378 	 Q9MZY0
OLUR_00012286 	 Q9Y6J0
OLUR_00006758 	 Q32LM4
OLUR_00010501 	 Q20191
OLUR_00015688 	 O09014
OLUR_00002799 	 O00602
OLUR_00005781 	 P11715
OLUR_00009515 	 Q9VCA2
OLUR_00006810 	 Q6P2X9
OLUR_00003635 	 Q0P4W6
OLUR_00015125 	 Q6UXB8
OLUR_00020424 	 Q9VQ62
OLUR_00009856 	 Q9BY12
OLUR_00003351 	 Q99LW6
OLUR_00001033 	 Q7RTX9
OLUR_00012620 	 P85008
OLUR_00015904 	 Q3KQ80
OLUR_00002673 	 Q8NI36
OLUR_00002674 	 Q9FE17
OLUR_00002672 	 B4H8J5
OLUR_00024283 	 Q9UJX3
OLUR_00023251 	 Q6P0C6
OLUR_00013115 	 O44252
OLUR_00010611 	 P62083
OLUR_00017112 	 Q8R493
OLUR_00016088 	 Q5RAL3
OLUR_00018571 	 Q90953
OLUR_00021708 	 Q9CZJ2
OLUR_00011510 	 P22105
OLUR_00006341 	 Q0P4F7
OLUR_00020408 	 Q28CF8
OLUR_00020189 	 P43143
OLUR_00008934 	 Q5R8W6
OLUR_00024153 	 O43557
OLUR_00005556 	 Q9QXX8
OLUR_00017254 	 P50476
OLUR_00022107 	 Q7TN31
OLUR_00001186 	 Q9XTL9
OLUR_00001185 	 Q9WUB3
OLUR_00007677 	 Q9NUD9
OLUR_00009008 	 Q5R5L7
OLUR_00013329 	 P30568
OLUR_00000772 	 A6QP84
OLUR_00000770 	 Q9ZKB5
OLUR_00002093 	 P13701
OLUR_00007647 	 Q5XGG5
OLUR_00008476 	 P49165
OLUR_00017059 	 Q9DGI3
OLUR_00002148 	 P0DO97
OLUR_00024113 	 Q8WWP7
OLUR_00019540 	 Q1ZXD6
OLUR_00011191 	 P10155
OLUR_00011341 	 Q5RDC1
OLUR_00007265 	 Q6V0K7
OLUR_00017919 	 Q3SZJ4
OLUR_00002141 	 Q4R4T0
OLUR_00006319 	 Q5QJ74
OLUR_00006320 	 Q8VIK1
OLUR_00006321 	 Q9CQZ7
OLUR_00024222 	 Q4U4D2
OLUR_00007111 	 Q53G44
OLUR_00003412 	 P60330
OLUR_00019547 	 Q54468
OLUR_00003364 	 O57594
OLUR_00004170 	 P06868
OLUR_00003441 	 P83851
OLUR_00013269 	 O70445
OLUR_00021885 	 Q708S4
OLUR_00011945 	 Q561P5
OLUR_00000414 	 D3YXG0
OLUR_00023272 	 Q8K3K9
OLUR_00003552 	 Q96AE7
OLUR_00015618 	 P18052
OLUR_00009046 	 Q25461
OLUR_00024520 	 O75095
OLUR_00014507 	 P21127
OLUR_00012503 	 Q98TB4
OLUR_00018233 	 P55041
OLUR_00023374 	 O54750
OLUR_00001365 	 P48430
OLUR_00016252 	 Q9HCF6
OLUR_00003952 	 Q24020
OLUR_00011671 	 P38542
OLUR_00001496 	 Q9JIQ8
OLUR_00001497 	 Q9JIQ8
OLUR_00012264 	 Q9R1R2
OLUR_00006198 	 Q96RF0
OLUR_00022115 	 P23471
OLUR_00003296 	 E9Q7R9
OLUR_00014639 	 Q56A24
OLUR_00001213 	 Q6NUP7
OLUR_00011516 	 Q62651
OLUR_00019100 	 P24457
OLUR_00012803 	 Q8TB72
OLUR_00001608 	 Q4FZY0
OLUR_00001609 	 Q29HY3
OLUR_00008154 	 P43301
OLUR_00002163 	 Q14894
OLUR_00023295 	 Q05754
OLUR_00011328 	 Q32KY6
OLUR_00015762 	 Q54MC6
OLUR_00016126 	 Q25464
OLUR_00004433 	 O94966
OLUR_00008132 	 O31463
OLUR_00016913 	 Q6NYE7
OLUR_00012745 	 Q6NY73
OLUR_00024370 	 Q96GP6
OLUR_00018267 	 Q9HF56
OLUR_00002564 	 F1QJF4
OLUR_00002563 	 Q11118
OLUR_00016321 	 Q9XYM0
OLUR_00020546 	 Q0E908
OLUR_00009808 	 A2RT91
